popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,multiple_artists,tempo_cat,artists,album_name,track_name
38,153039,False,0.522,0.854,A,-5.274,minor,0.0431,0.0498,2.53e-4,0.265,0.699,136.087,4,electronic,FALSE,Allegro,Babasónicos,Infame,Once
20,212840,False,0.544,0.855,C,-3.464,major,0.0282,0.00341,0.0428,0.26,0.609,139.432,4,power-pop,FALSE,Allegro,Hoodoo Gurus,Mars Needs Guitars!,The Other Side Of Paradise - 2005 Remaster
71,235779,False,0.856,0.617,A#/Bb,-5.308,minor,0.084,0.171,0,0.0857,0.759,136.081,4,k-pop,FALSE,Allegro,BTS,Love Yourself 承 'Her',Go Go
12,142759,False,0.478,0.235,D,-13.106,major,0.0278,0.917,0.264,0.0836,0.382,93.226,3,honky-tonk,FALSE,Andante,George Jones,Mr. Country and Western,Your Tender Years
9,292217,False,0.786,0.714,A,-10.344,minor,0.0595,7.26e-4,0.908,0.101,0.269,119.956,4,detroit-techno,FALSE,Moderato,Omar S,Thank You for Letting Me Be Myself,Dumpster Graves
38,194506,False,0.65,0.771,D,-6.901,major,0.0269,0.00119,0.0261,0.16,0.743,112.71,4,punk-rock,FALSE,Moderato,Patricio Rey y sus Redonditos de Ricota,Último Bondi a Finisterre,Alien Duce
68,231146,False,0.581,0.992,G,-2.976,major,0.109,0.004,2.73e-5,0.353,0.2,99.974,4,metal,FALSE,Andante,Slipknot,"The End, So Far",Warranty
20,337200,False,0.457,0.573,F,-13.509,minor,0.0292,0.906,0.86,0.175,0.65,147.283,4,new-age,FALSE,Allegro,George Winston,Peanuts Portraits,Masked Marvel
0,237733,False,0.179,0.445,A#/Bb,-9.089,minor,0.0474,0.99,0.538,0.111,0.192,70.396,4,romance,FALSE,Adagio,Nikolay Kopylov,"Ради Женщин (Сцены, Арии И Дуэты Из Классических Оперетт)",Ария Мистера Х Из Оперетты «Принцесса Цирка»
28,153720,False,0.364,0.397,C,-7.28,major,0.0332,0.556,0,0.122,0.307,184.721,3,rockabilly,FALSE,Presto,Toini & The Tomcats,Traction,Dear Whoever
24,248920,False,0.576,0.866,F,-5.3,minor,0.0411,0.0361,0.0803,0.318,0.64,155.386,4,j-idol,FALSE,Allegro,Akina Nakamori,コンプリート・シングル・コレクションズ〜ファースト・テン・イヤーズ<ライノ・プレミアム・エディション>,TANGO NOIR
16,111093,False,0.617,0.2,D,-11.888,major,0.0349,0.921,0,0.116,0.343,59.328,4,honky-tonk,TRUE,Lento/Largo,Hank Williams;Drifting Cowboys,I Saw The Light (Expanded Undubbed Edition),I'm Gonna Sing
53,168209,False,0.411,0.601,G#/Ab,-6.837,major,0.0665,0.268,2.78e-4,0.0899,0.526,87.648,4,anime,FALSE,Andante,Eve,Kaizin,Yoku
61,205493,False,0.406,0.81,C#/Db,-6.127,major,0.0343,1.04e-5,1.34e-6,0.325,0.638,128.282,4,grunge,FALSE,Allegro,Nirvana,With The Lights Out - Box Set,Sappy
43,390920,False,0.175,0.175,A#/Bb,-21.734,major,0.038,0.949,0.131,0.632,0.0639,116.379,4,new-age,FALSE,Moderato,Dan Gibson's Solitudes,Illumination: Peaceful Gregorian Chants,"Pange, Lingua Gloriosi"
9,229016,False,0.97,0.702,F#/Gb,-10.101,major,0.0567,0.0109,0,0.129,0.602,112.99,4,kids,FALSE,Moderato,Cupid,Dance Party King,Soul Train Line
18,157666,False,0.534,0.983,C,-9.253,minor,0.058,0.00775,0.0295,0.487,0.195,140.545,4,happy,FALSE,Allegro,Scooter,Encore - Live and Direct,The Age of Love
54,180389,False,0.739,0.769,G#/Ab,-3.793,major,0.0541,0.48,0,0.332,0.809,153.915,4,sertanejo,FALSE,Allegro,Murilo Huff,"Pra Ouvir Tomando Uma, Vol. 1",Idiota Favorito
19,253746,False,0.793,0.394,E,-7.252,minor,0.0582,0.117,0,0.21,0.419,131.974,4,j-dance,FALSE,Allegro,Mavado,Gangsta For Life: The Symphony Of David Brooks,Heart Beat
30,350340,True,0.593,0.822,D,-6.852,major,0.914,0.741,0,0.927,0.334,117.325,4,comedy,FALSE,Moderato,Kyle Kinane,Loose in Chicago,Water
59,180320,False,0.494,0.47,G#/Ab,-9.599,minor,0.0301,0.21,0,0.28,0.698,103.477,4,british,FALSE,Andante,The Beatles,Revolver (Remastered),I'm Only Sleeping - Remastered 2009
45,201130,False,0.838,0.496,E,-9.59,minor,0.0624,0.239,4.83e-6,0.253,0.679,148.132,4,brazil,FALSE,Allegro,Maneva,Tudo Vira Reggae (Ao Vivo),Péssimo Negócio - Ao Vivo
33,222493,False,0.602,0.903,F,-4.592,major,0.0301,0.0158,3.33e-4,0.277,0.95,158.019,4,ska,FALSE,Allegro,Lasse Stefanz,50th Anniversary (1967-2017),Oklahoma
42,139210,False,0.476,0.838,C,-5.931,minor,0.0542,0.576,0,0.61,0.501,84.923,4,pagode,FALSE,Andante,Ferrugem,"Prazer, eu sou Ferrugem (Ao vivo)",Meu bem - Ao vivo
56,191853,False,0.441,0.583,F,-6.4,major,0.0267,0.544,0,0.143,0.523,169.067,4,swedish,FALSE,Vivace,ABBA,Waterloo,Hasta Manana
18,101720,False,0.361,0.343,G,-12.585,major,0.0582,0.552,1.2e-6,0.207,0.371,81.712,5,disney,FALSE,Andante,SHIKI THEATRE COMPANY,ディズニー 『アナと雪の女王』 ミュージカル <劇団四季> (オリジナル・サウンドトラック),クリストフ・ララバイ
25,268986,False,0.58,0.784,G,-5.739,major,0.0289,0.0153,0.00912,0.142,0.214,129.993,4,grunge,FALSE,Allegro,Linkin Park,A Thousand Suns,Robot Boy
28,181267,False,0.629,0.535,G,-11.576,major,0.0356,0.589,0.0238,0.11,0.663,102.512,4,bluegrass,FALSE,Andante,Greensky Bluegrass,All for Money,Do Harm
67,216063,False,0.566,0.475,C,-5.556,minor,0.089,0.148,0,0.139,0.335,136.442,4,k-pop,FALSE,Allegro,BTS,Wings,Stigma
24,310600,False,0.671,0.89,E,-3.711,minor,0.0417,0.143,0,0.107,0.579,115.002,4,j-idol,FALSE,Moderato,Flower,THIS IS Flower THIS IS BEST,SAKURAリグレット(version2016)
26,196197,False,0.66,0.742,B,-4.58,major,0.0884,0.028,0,0.138,0.682,132.047,4,garage,FALSE,Allegro,The Smith Street Band,Don't Waste Your Anger,The End Of The World
26,196453,False,0.67,0.902,A,-5.141,major,0.0377,0.13,3.5e-4,0.13,0.774,113.448,4,rockabilly,FALSE,Moderato,Toini & The Tomcats,Going Wild,Living on a Lie
36,251264,False,0.369,0.637,B,-6.279,major,0.0299,0.0443,0,0.179,0.121,75.37,4,world-music,FALSE,Adagio,Hillsong Worship,No Other Name,All Things New
59,167239,False,0.638,0.0811,G,-22.646,major,0.0335,0.879,0.00313,0.314,0.0503,109.154,4,psych-rock,FALSE,Moderato,Pink Floyd,The Wall,Goodbye Blue Sky
28,175240,False,0.775,0.697,F,-4.354,major,0.0374,0.788,0,0.0683,0.974,152.183,4,rock-n-roll,FALSE,Allegro,Mike Laure,Boleros Con Mike Laure,La Mesera
20,280393,False,0.43,0.951,E,-5.868,major,0.115,5.9e-5,0.00318,0.591,0.132,131.91,4,heavy-metal,FALSE,Allegro,Stam1na,Uudet kymmenen käskyä,Uudet kymmenen käskyä
26,211440,False,0.539,0.945,A#/Bb,-7.162,minor,0.087,0.00514,0.0224,0.421,0.571,138.009,4,synth-pop,FALSE,Allegro,Modern Talking,Milestones,Ready for the Victory - Radio Version
0,355808,False,0.419,0.571,C#/Db,-15.861,major,0.149,0.408,0.00109,0.145,0.143,98.454,4,iranian,FALSE,Andante,Rojin Sharafi,MISBHV 002: Meditations - a sonic response,Gwát
33,148466,False,0.603,0.446,F#/Gb,-8.379,minor,0.0382,0.949,0.0978,0.397,0.0894,79.98,4,study,FALSE,Andante,Justnormal,Graceland Drive,Graceland Drive
22,349986,True,0.308,0.956,F,-5.15,major,0.148,7.61e-5,0.0378,0.167,0.115,119.996,4,death-metal,FALSE,Moderato,Burgerkill,Beyond Coma and Despair,Suffer to Death
7,365493,False,0.155,0.157,F,-20.476,minor,0.0436,0.691,0.941,0.0985,0.0379,132.55,5,iranian,FALSE,Allegro,Alphaxone,Edge of Solitude,Echosphere
22,165293,False,0.673,0.488,E,-5.602,major,0.0317,0.896,4.84e-5,0.25,0.557,108.066,4,guitar,FALSE,Moderato,Los Tecolines,12 Grandes exitos Vol. 1,Mala
18,229200,False,0.761,0.901,D,-2.394,major,0.0547,0.0437,0.00274,0.0716,0.617,127.509,4,j-idol,FALSE,Allegro,Shiritsu Ebisu Chugaku,手をつなごう/禁断のカルマ,サクラ・ゴーラウンド
32,247433,False,0.507,0.343,A#/Bb,-20.092,minor,0.0405,0.959,0.93,0.102,0.45,154.096,4,idm,FALSE,Allegro,Rival Consoles,Persona,Be Kind
26,174440,False,0.614,0.625,E,-10.019,major,0.0322,0.776,3.27e-4,0.157,0.961,139.496,4,rockabilly,FALSE,Allegro,Los Teen Tops,Serie De Colección 16 Autenticos Exitos,Popotitos - Remasterizado
11,141893,False,0.515,0.464,D,-14.273,major,0.0282,0.782,2.62e-6,0.266,0.828,95.596,4,honky-tonk,FALSE,Andante,George Jones,Starday & Musicor Originals,You Put Living Back In Life
62,189800,False,0.544,0.935,F#/Gb,-4.159,minor,0.173,0.0171,0.00301,0.297,0.339,103.026,4,grunge,FALSE,Andante,Linkin Park,Hybrid Theory (Bonus Edition),By Myself
35,302146,False,0.481,0.986,A,-4.047,major,0.289,0.209,0.0448,0.931,0.194,190.035,4,ska,FALSE,Presto,Los Fabulosos Cadillacs,En Vivo en The Theater at Madison Square Garden,Matador - En Vivo en Theater at Madison Square Garden
31,236840,False,0.488,0.902,E,-2.68,major,0.0412,0.566,0,0.29,0.652,79.999,4,j-idol,FALSE,Andante,Nogizaka46,それぞれの椅子,光合成希望
66,189858,False,0.483,0.795,G#/Ab,-4.338,minor,0.181,0.00258,0,0.0912,0.685,171.853,4,anime,FALSE,Vivace,ENHYPEN,BORDER : DAY ONE,Let Me In (20 CUBE)
0,238026,False,0.333,0.179,D,-17.55,minor,0.0468,0.904,0.00188,0.448,0.117,66.169,4,romance,FALSE,Adagio,Oleg Pogudin,The Best Songs,Элегия
30,200594,False,0.485,0.191,D,-11.534,major,0.0368,0.9,0,0.178,0.396,141.366,4,guitar,FALSE,Allegro,Cuco Sánchez,"Allá en el Rancho Grande, Vol. 20",Tu Solo Tu
